Job_Title,Salary_Estimate,Rating,Company_Name,Location,Headquarters,Size,Type_of_Ownership,Industry,Sector,Revenue,Easy_Apply,Job_Description,Skills,Min_Salary,Max_Salary,Avg_Salary,Date
Data Scientist,$97K-$134K,,FinSight,"Delhi, DL","Mumbai, MH",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Healthcare,Product,1M-10M,Yes,Himself note money education goal. Late positive radio risk option around line.,AWS;NLP;Deep Learning;R;SQL,97000,134000,115500,2017-10-19
Data Analyst,$44K-$89K,3.3,DataWorks,"Pune, MH","San Francisco, CA",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Analytics,1M-10M,Yes,Although could dog blood whatever. General rather international.,Git;PowerBI;AWS;NLP;Excel,44000,89000,66500,2018-10-08
Data Analyst,$100K-$108K,,RetailEdge,"Delhi, DL","Hyderabad, TS",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Business Intelligence,>1B,No,Improve nearly space ground either argue buy. Require reality few less. Bad democratic near should paper. Manage research worker loss full.,NLP;SQL;R,100000,108000,104000,2016-12-15
Research Analyst,$75K-$120K,4.8,FinSight,"Delhi, DL","Bengaluru, KA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Business Intelligence,>1B,Yes,Space right bad pay. Grow peace audience possible turn set.,Deep Learning;Statistics,75000,120000,97500,2024-03-26
Research Analyst,$80K-$123K,,FinSight,"Chennai, TN","San Francisco, CA",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Business Intelligence,<1M,No,Either and paper Mrs. Big create success base network. Clear start paper herself couple hard conference nation.,Statistics;Git;Tableau;SQL,80000,123000,101500,2020-02-11
Senior Data Analyst,$64K-$87K,,DataWorks,"Bengaluru, KA","Delhi, DL",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Research,<1M,No,Drug yet Mr investment pretty.,AWS;PowerBI;SQL;Spark,64000,87000,75500,2019-12-20
Data Scientist,$39K-$92K,,BioStats,"Pune, MH","Mumbai, MH",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Data Science,1M-10M,No,Mrs reflect prepare above tree service. Class wife reduce course thus around. Media avoid may.,R;AWS;Statistics;NLP;Deep Learning;SQL,39000,92000,65500,2023-12-17
Data Analyst,$61K-$109K,,HealthSense,"San Francisco, CA","Delhi, DL",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Business Intelligence,100M-1B,Yes,Measure plant sometimes rich test actually. Write still usually media low physical somebody.,NLP;SQL;Deep Learning;Excel;R,61000,109000,85000,2025-11-20
Research Analyst,$33K-$84K,3.1,RetailEdge,"Pune, MH","Hyderabad, TS",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Finance,Research,100M-1B,No,Author shake fly. Democratic state yes identify. Seem article as task value language. Good wide budget their big it.,PowerBI;Spark;Excel;NLP;Statistics,33000,84000,58500,2016-05-11
Data Analyst,$95K-$109K,3.0,Insightify,"San Francisco, CA","San Francisco, CA",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Business Intelligence,100M-1B,No,Every model tough sound stock. Participant read woman attorney at cost sister seven.,PowerBI;Python,95000,109000,102000,2025-12-20
Data Analyst,$81K-$131K,,AnalyticaX,"New York, NY","San Francisco, CA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Finance,Research,100M-1B,No,Mrs remember house support. Choose population success dream million.,Excel;Tableau;NLP;Python;Git;Deep Learning,81000,131000,106000,2025-09-12
BI Analyst,$32K-$61K,3.8,RetailEdge,"Mumbai, MH","New York, NY",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Product,1M-10M,Yes,Goal end moment people your owner. According college trip close couple prepare course fire. Attack because speak teacher themselves commercial.,NLP;Deep Learning;Git;AWS;Excel,32000,61000,46500,2017-07-04
Senior Data Analyst,$90K-$141K,3.8,BioStats,"Delhi, DL","New York, NY",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Business Intelligence,10M-100M,Yes,Letter discussion he special week. Per study box everybody hair rock.,Deep Learning;AWS;Statistics,90000,141000,115500,2018-12-28
Data Scientist,$93K-$129K,,RetailEdge,"Chennai, TN","Bengaluru, KA",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Data Science,>1B,No,Else day fast ground reach. Black sister describe small night will.,R;PowerBI;Excel;Statistics;Tableau,93000,129000,111000,2019-12-13
Research Analyst,$77K-$94K,3.3,BioStats,"Bengaluru, KA","Pune, MH",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Data Science,10M-100M,No,Go easy including cut consumer put new turn. Rate range however.,Excel;Python;NLP;Tableau,77000,94000,85500,2022-03-08
Senior Data Analyst,$83K-$135K,2.6,BioStats,"San Francisco, CA","Bengaluru, KA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Research,10M-100M,Yes,Security fight hit low theory. Prove see defense staff camera stock thing.,PowerBI;Git;Excel,83000,135000,109000,2017-10-14
BI Analyst,$56K-$63K,,AnalyticaX,"Delhi, DL","Pune, MH",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Business Intelligence,10M-100M,Yes,Again among team. Fill military mouth see rate mind. That themselves end.,AWS;Deep Learning;PowerBI;NLP,56000,63000,59500,2018-05-22
Research Analyst,$46K-$81K,3.1,AnalyticaX,"Bengaluru, KA","Bengaluru, KA",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Analytics,>1B,Yes,Good decide future. Manage pretty model happen use company trade information. Ready player plant may sea view.,Tableau;SQL,46000,81000,63500,2023-11-04
BI Analyst,$77K-$116K,,RetailEdge,"Delhi, DL","Bengaluru, KA",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Data Science,>1B,Yes,Couple improve receive bit student enough analysis. After box red population long. Lay brother race miss little win Mrs. Message letter remember consumer money coach.,Excel;NLP;PowerBI;SQL;Deep Learning,77000,116000,96500,2020-05-17
Senior Data Analyst,$32K-$88K,4.4,BioStats,"Delhi, DL","Chennai, TN",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Research,10M-100M,Yes,Little break upon lead action. Possible end main. Name return experience education. Present medical affect.,PowerBI;Deep Learning;Tableau;Python;Statistics,32000,88000,60000,2019-09-21
Research Analyst,$32K-$41K,2.9,HealthSense,"Bengaluru, KA","San Francisco, CA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Research,1M-10M,Yes,She see hot treat theory term air.,Spark;Excel;Tableau,32000,41000,36500,2016-07-17
Research Analyst,$64K-$90K,4.1,RetailEdge,"Mumbai, MH","Pune, MH",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Analytics,100M-1B,Yes,Affect cultural project. Parent late find television. Certainly factor matter nice effort special.,Deep Learning;Spark;R,64000,90000,77000,2019-12-06
Data Scientist,$53K-$84K,3.5,HealthSense,"New York, NY","Mumbai, MH",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Product,100M-1B,Yes,Place clear pretty ago magazine before. Positive her which garden far it.,AWS;Tableau;R,53000,84000,68500,2025-04-06
Senior Data Analyst,$54K-$107K,4.4,FinSight,"Mumbai, MH","San Francisco, CA",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Product,10M-100M,No,Sell range sport say different still ever Congress. Consider old peace authority ground if by order. Foreign population Mr cut something one.,Statistics;NLP;Deep Learning,54000,107000,80500,2016-12-20
Data Scientist,$59K-$115K,3.0,AnalyticaX,"Hyderabad, TS","Bengaluru, KA",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Finance,Analytics,>1B,No,Control fight see determine system sometimes.,NLP;Statistics;AWS,59000,115000,87000,2019-03-21
Senior Data Analyst,$66K-$112K,4.4,TechPulse,"Pune, MH","Bengaluru, KA",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Research,100M-1B,Yes,Just modern very hold attorney rather save. Standard accept heavy similar. Whose always peace stand. Peace develop fill create forget long.,PowerBI;R;AWS,66000,112000,89000,2017-09-02
Research Analyst,$78K-$120K,,AnalyticaX,"Delhi, DL","Mumbai, MH",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Product,<1M,No,Including sea where. Truth these notice tend adult enough simply. Enough budget later.,Statistics;AWS;NLP;Tableau,78000,120000,99000,2020-02-11
Research Analyst,$63K-$71K,3.7,DataWorks,"Mumbai, MH","New York, NY",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Business Intelligence,<1M,No,Factor they bad whose respond population have expert. To would available small. Mention number with air relationship cold.,Deep Learning;Python;R;Excel;Spark;SQL,63000,71000,67000,2017-08-04
BI Analyst,$41K-$58K,3.4,AnalyticaX,"San Francisco, CA","Bengaluru, KA",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Product,10M-100M,No,Magazine admit ground offer method fear front. No yet suddenly view.,AWS;NLP,41000,58000,49500,2024-02-06
Data Scientist,$79K-$98K,,TechPulse,"San Francisco, CA","San Francisco, CA",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Research,<1M,Yes,Might represent treatment window sign character. Present degree available. Fear realize wrong human.,Deep Learning;SQL,79000,98000,88500,2022-05-21
Research Analyst,$46K-$56K,2.6,RetailEdge,"New York, NY","Chennai, TN",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Finance,Analytics,10M-100M,Yes,Side simple possible bring politics save process. Technology different poor step film in reality during.,R;Deep Learning;NLP,46000,56000,51000,2022-07-21
Research Analyst,$78K-$85K,4.1,AnalyticaX,"Delhi, DL","Chennai, TN",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Data Science,<1M,Yes,Herself shoulder perhaps economic. Politics Mrs ground middle though.,Git;Statistics;AWS,78000,85000,81500,2021-11-06
BI Analyst,$77K-$103K,,AnalyticaX,"Delhi, DL","Mumbai, MH",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Finance,Business Intelligence,10M-100M,No,Process hair first central. Decide force power difficult standard better.,Git;PowerBI;Tableau;Excel;R;Spark,77000,103000,90000,2024-02-15
Research Analyst,$71K-$78K,4.3,BioStats,"Pune, MH","Bengaluru, KA",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Product,1M-10M,No,Public many central question very.,Spark;R;PowerBI;SQL;Deep Learning,71000,78000,74500,2017-03-09
BI Analyst,$90K-$126K,,Insightify,"San Francisco, CA","Delhi, DL",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Data Science,10M-100M,Yes,Feeling hand tell military fast city. Return member suddenly program over small half.,NLP;Statistics;PowerBI;Excel;R,90000,126000,108000,2020-11-20
Data Analyst,$42K-$59K,4.4,HealthSense,"New York, NY","Bengaluru, KA",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Product,>1B,Yes,Right similar mother stand degree mean type. Serve reduce affect through dark media.,SQL;Statistics,42000,59000,50500,2016-04-27
Data Scientist,$78K-$85K,4.2,BioStats,"Pune, MH","Pune, MH",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Data Science,>1B,Yes,Child view century lose song least me a. Style buy base. Mrs probably score any investment board.,NLP;Python,78000,85000,81500,2018-12-22
Data Scientist,$60K-$88K,,AnalyticaX,"New York, NY","Pune, MH",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Research,<1M,Yes,Morning middle pay member answer southern. Still situation sense. Picture country actually.,Spark;Excel,60000,88000,74000,2024-09-14
Research Analyst,$44K-$63K,4.6,HealthSense,"Bengaluru, KA","Hyderabad, TS",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Analytics,100M-1B,Yes,Nothing player kitchen put anything ball develop. Give eat view statement black. Market walk small nothing small.,Python;Deep Learning;R;Excel;SQL;Git,44000,63000,53500,2017-12-03
Data Scientist,$58K-$112K,,FinSight,"Mumbai, MH","San Francisco, CA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Research,<1M,No,Different little expert by plant. Require share ahead begin finally gas standard. Ok business start bar degree blood.,Git;PowerBI;AWS;Statistics;NLP,58000,112000,85000,2025-06-17
BI Analyst,$30K-$74K,2.8,HealthSense,"San Francisco, CA","Chennai, TN",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Research,10M-100M,Yes,Wonder source million dog national plan. Continue take result forget tell by. North campaign green goal improve.,Git;Excel;Statistics,30000,74000,52000,2021-02-24
Senior Data Analyst,$92K-$123K,2.6,BioStats,"Chennai, TN","New York, NY",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Analytics,1M-10M,No,Science material possible glass project compare much.,PowerBI;Python;AWS;Statistics;Tableau,92000,123000,107500,2023-04-01
Senior Data Analyst,$69K-$100K,3.1,DataWorks,"New York, NY","Delhi, DL",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Business Intelligence,>1B,Yes,Even although traditional hour light.,Python;Excel;Statistics;Git;Spark;SQL,69000,100000,84500,2016-01-03
Data Scientist,$31K-$61K,4.0,Insightify,"San Francisco, CA","Delhi, DL",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Business Intelligence,<1M,No,Force address any from type. Either process statement loss may.,Statistics;NLP;Git;Spark;Python,31000,61000,46000,2020-10-14
Research Analyst,$85K-$124K,,BioStats,"Pune, MH","Pune, MH",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Business Intelligence,1M-10M,Yes,Similar home account hotel popular bring. Return across gun today involve including. Piece modern during adult professional government treatment.,Deep Learning;AWS;Python;Git;NLP;Excel,85000,124000,104500,2021-03-03
Senior Data Analyst,$78K-$124K,2.6,RetailEdge,"San Francisco, CA","Hyderabad, TS",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Analytics,<1M,No,Dark nice require. Question million activity. Someone bill talk college address behind.,Statistics;Spark;Python,78000,124000,101000,2022-06-07
Research Analyst,$100K-$147K,,FinSight,"Chennai, TN","Pune, MH",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Analytics,1M-10M,No,Likely child instead. Else able speech mother. Enjoy common guy kid in pay idea city.,PowerBI;Tableau;Deep Learning,100000,147000,123500,2019-04-17
Senior Data Analyst,$62K-$82K,4.6,Insightify,"Bengaluru, KA","Hyderabad, TS",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Healthcare,Analytics,100M-1B,No,Camera level environmental. Score sing hospital together early allow.,Python;PowerBI;AWS;Git,62000,82000,72000,2017-03-09
BI Analyst,$73K-$124K,4.7,BioStats,"Bengaluru, KA","Pune, MH",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Healthcare,Product,10M-100M,No,Popular money animal pay note threat almost. Shoulder free son use usually. Role statement station sort.,Spark;Excel;NLP;SQL;AWS;Statistics,73000,124000,98500,2017-09-07
Research Analyst,$59K-$109K,2.9,TechPulse,"Hyderabad, TS","Bengaluru, KA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Research,10M-100M,No,Happen difficult movie most great phone gun. Capital show do threat her.,Python;R;NLP;AWS;Tableau;Spark,59000,109000,84000,2017-12-15
Data Analyst,$59K-$99K,,FinSight,"San Francisco, CA","Hyderabad, TS",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Product,<1M,No,Choice would ahead shake. Mouth far success. Better pressure bill.,R;Statistics;Deep Learning;Git;Excel;Spark,59000,99000,79000,2020-05-13
BI Analyst,$99K-$126K,,FinSight,"Chennai, TN","Hyderabad, TS",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Research,<1M,No,Least throw child seven. American hear movie question four. Half dinner general seem various work.,Python;Statistics;NLP,99000,126000,112500,2017-08-03
Research Analyst,$59K-$119K,,HealthSense,"Hyderabad, TS","Delhi, DL",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Business Intelligence,<1M,No,Table phone test we only low heart. While might front until hospital world management. Course sit wife improve this at size open.,R;Tableau;Excel;AWS;Spark,59000,119000,89000,2023-08-04
Data Scientist,$75K-$102K,,RetailEdge,"Bengaluru, KA","Bengaluru, KA",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Research,1M-10M,No,Boy final head can north her work skin. Million year everybody data. Contain push where last.,Statistics;NLP;SQL,75000,102000,88500,2023-10-25
Senior Data Analyst,$30K-$63K,,FinSight,"Delhi, DL","Pune, MH",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Product,10M-100M,Yes,Avoid buy market decision style. Mother usually group keep price.,Statistics;Git;SQL,30000,63000,46500,2024-03-19
Data Analyst,$39K-$63K,,TechPulse,"Delhi, DL","Pune, MH",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Analytics,1M-10M,Yes,Cover smile seek serve. Space government space create hold.,AWS;Git,39000,63000,51000,2019-09-22
Senior Data Analyst,$62K-$117K,,RetailEdge,"Delhi, DL","Mumbai, MH",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Finance,Data Science,<1M,No,Coach box around last which. Word another establish. Sound dark that scene.,Git;Tableau;Python;NLP;SQL;Statistics,62000,117000,89500,2024-08-08
Data Scientist,$39K-$81K,4.1,Insightify,"Bengaluru, KA","Mumbai, MH",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Data Science,100M-1B,Yes,Stage focus source gun person. Build take watch then line note. Address both collection into.,Statistics;R;Python,39000,81000,60000,2019-05-05
Senior Data Analyst,$40K-$98K,3.9,BioStats,"San Francisco, CA","San Francisco, CA",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Research,<1M,Yes,Specific gas in beat claim each. Prevent feel three.,Tableau;Excel;AWS;R,40000,98000,69000,2016-10-10
Data Analyst,$75K-$118K,3.4,Insightify,"Delhi, DL","Delhi, DL",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Data Science,10M-100M,Yes,Forward black dark center.,Excel;Python,75000,118000,96500,2018-02-04
Senior Data Analyst,$76K-$92K,4.7,Insightify,"Mumbai, MH","New York, NY",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Analytics,10M-100M,Yes,Need bit everything we indeed them challenge. Decade country information none possible table. Challenge agency run tax rock eat paper myself.,Deep Learning;Excel;Tableau;Git,76000,92000,84000,2021-05-12
BI Analyst,$33K-$38K,,DataWorks,"Delhi, DL","Bengaluru, KA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Research,1M-10M,No,Yard back season especially official measure. Order vote when mouth meeting.,Python;Deep Learning;Git;AWS,33000,38000,35500,2017-07-24
Data Scientist,$99K-$154K,3.3,DataWorks,"San Francisco, CA","Delhi, DL",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Product,100M-1B,Yes,Act customer hundred consumer history spring story. Throw color age old production defense direction help. Enjoy whom political red however media.,AWS;SQL;R;Excel,99000,154000,126500,2025-07-18
Senior Data Analyst,$30K-$68K,,RetailEdge,"New York, NY","Pune, MH",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Analytics,100M-1B,Yes,Most western camera purpose another interview. Mr along like everyone. Brother not main discussion.,Excel;PowerBI,30000,68000,49000,2022-09-22
Data Scientist,$45K-$62K,,AnalyticaX,"Delhi, DL","Hyderabad, TS",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Analytics,>1B,No,Wish happy street way. Each song enjoy reason.,SQL;Python;Git;Statistics,45000,62000,53500,2022-09-08
Data Analyst,$79K-$89K,4.2,FinSight,"Delhi, DL","Pune, MH",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Business Intelligence,<1M,No,Card son wish responsibility international machine soldier. And indicate often any. Public prevent number here physical admit quality.,R;NLP;Spark;AWS;Tableau,79000,89000,84000,2019-01-24
Research Analyst,$31K-$79K,2.9,TechPulse,"Hyderabad, TS","Bengaluru, KA",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Research,<1M,No,Season couple kitchen special yes they performance. While defense throw current.,R;SQL,31000,79000,55000,2017-03-09
Data Analyst,$45K-$80K,3.6,TechPulse,"Delhi, DL","New York, NY",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Product,100M-1B,No,Make recent family road fall. Product method drop human understand group. Actually catch ready pretty wind walk data. Free worry wall smile central within.,Tableau;Python;R;Excel,45000,80000,62500,2024-08-23
Data Analyst,$92K-$105K,,RetailEdge,"Mumbai, MH","Bengaluru, KA",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Product,1M-10M,Yes,Protect fill mean team leader necessary spring.,AWS;R;SQL,92000,105000,98500,2022-04-07
Research Analyst,$36K-$94K,4.2,HealthSense,"San Francisco, CA","Delhi, DL",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Healthcare,Business Intelligence,1M-10M,Yes,Nature nearly read bit conference support. Step find party finish say. That management report outside position church. Hundred officer toward sound fish exactly if.,Statistics;R;SQL;Tableau;Python,36000,94000,65000,2022-06-21
BI Analyst,$75K-$89K,3.8,TechPulse,"Pune, MH","Delhi, DL",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Business Intelligence,>1B,Yes,Someone deep time. Owner source once election stage.,Python;SQL,75000,89000,82000,2019-04-16
Senior Data Analyst,$60K-$68K,,BioStats,"Mumbai, MH","Pune, MH",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Business Intelligence,<1M,Yes,Own stock paper bring check. Risk provide scene feel end.,NLP;Statistics;SQL;Deep Learning;Git,60000,68000,64000,2022-04-15
BI Analyst,$97K-$110K,2.7,DataWorks,"Mumbai, MH","Chennai, TN",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Research,>1B,Yes,Show short difficult first check himself. School also point good.,SQL;Tableau,97000,110000,103500,2023-02-05
Data Scientist,$46K-$55K,,TechPulse,"Bengaluru, KA","San Francisco, CA",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Analytics,<1M,Yes,Down magazine especially. Step know door level easy. Him shoulder light then study decade pattern customer.,R;Python;SQL,46000,55000,50500,2019-07-22
Data Analyst,$61K-$74K,4.5,RetailEdge,"San Francisco, CA","Bengaluru, KA",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Data Science,>1B,No,Know available hospital political. Address development discover allow.,Statistics;R;Git;AWS;NLP,61000,74000,67500,2024-07-18
Data Scientist,$76K-$119K,3.1,AnalyticaX,"Bengaluru, KA","Pune, MH",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Business Intelligence,10M-100M,No,Star when hope player stop guess plant home. Off what become social something.,AWS;Deep Learning;R;Excel;Tableau,76000,119000,97500,2021-03-21
Senior Data Analyst,$91K-$105K,3.4,RetailEdge,"Pune, MH","San Francisco, CA",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Data Science,<1M,Yes,Research alone alone past low position property old. Full me box base. Right listen sister.,Spark;Python;Deep Learning;R;Git,91000,105000,98000,2023-02-11
Data Scientist,$81K-$134K,,FinSight,"Delhi, DL","Hyderabad, TS",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Analytics,<1M,No,Last check finish whose arm. After activity after other key.,AWS;Tableau,81000,134000,107500,2017-05-16
Data Analyst,$92K-$138K,,DataWorks,"Hyderabad, TS","New York, NY",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",E-Commerce,Research,100M-1B,No,Interesting marriage account degree. Throughout every campaign dog. Lot cold same must. Large leader best cost market decision.,SQL;Spark;Python;Excel;NLP;Deep Learning,92000,138000,115000,2020-06-07
Data Analyst,$52K-$78K,,FinSight,"Bengaluru, KA","New York, NY",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Healthcare,Data Science,100M-1B,No,Similar himself positive piece news box other. Conference support charge home. Manage news wrong tend responsibility heart.,Excel;R,52000,78000,65000,2025-04-20
Senior Data Analyst,$35K-$43K,,FinSight,"Mumbai, MH","San Francisco, CA",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Analytics,1M-10M,No,Light fact join available. Activity staff environment card low sure. Relationship interview seek ability view.,Excel;Spark,35000,43000,39000,2020-04-23
Data Scientist,$97K-$111K,3.2,Insightify,"Hyderabad, TS","Chennai, TN",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Business Intelligence,1M-10M,Yes,Thank lawyer often property available continue find. Bill lay reflect full page item no. Rock into anyone then from night.,Spark;NLP,97000,111000,104000,2017-01-16
Research Analyst,$76K-$123K,3.4,RetailEdge,"San Francisco, CA","Bengaluru, KA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Business Intelligence,1M-10M,Yes,Night whatever bar question program either agency. Whom anyone sister.,NLP;Tableau;Deep Learning;R,76000,123000,99500,2018-03-14
Data Scientist,$69K-$97K,,Insightify,"Chennai, TN","Mumbai, MH",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Analytics,100M-1B,No,Ready pay television across time story matter. Measure great give four end agreement. Much fine try strong right especially south.,R;AWS;Spark,69000,97000,83000,2020-05-23
Data Analyst,$76K-$86K,,AnalyticaX,"San Francisco, CA","Delhi, DL",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Data Science,10M-100M,No,Really often clear. Nation radio tend stay fire difference high.,Git;AWS,76000,86000,81000,2018-09-09
Data Scientist,$74K-$101K,,RetailEdge,"Pune, MH","Bengaluru, KA",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Information Technology,Product,100M-1B,No,Chair now serious rate. Left television argue catch drug rule but. Buy computer bar amount manage movie same.,Excel;Git;PowerBI;Statistics,74000,101000,87500,2020-01-06
Data Scientist,$75K-$131K,3.2,Insightify,"Delhi, DL","Pune, MH",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Business Intelligence,1M-10M,No,Image goal fine country. Tax occur specific somebody car lawyer. Me democratic specific hotel data. Over although he maybe million seem.,SQL;Tableau;R;Git;AWS;NLP,75000,131000,103000,2022-06-24
Senior Data Analyst,$79K-$108K,,FinSight,"Delhi, DL","Delhi, DL",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Analytics,>1B,No,Herself out treatment focus front sit. Here different manager wide.,AWS;SQL;Excel;Tableau;R,79000,108000,93500,2018-10-16
BI Analyst,$47K-$100K,,FinSight,"Mumbai, MH","Bengaluru, KA",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Data Science,<1M,No,Travel growth call modern hope mind. Sea task lawyer behind finally least.,R;AWS;Excel;Deep Learning;Spark;SQL,47000,100000,73500,2024-02-06
Research Analyst,$83K-$126K,4.3,DataWorks,"Delhi, DL","New York, NY",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Analytics,1M-10M,No,I above talk left about. She avoid place community gun. Beat woman over tend represent.,SQL;PowerBI,83000,126000,104500,2023-06-06
